127.0.0.1 - - [29/Nov/2017:21:15:49 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/Integrated_package_hs_699.jsp HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/css/style.css HTTP/1.1" 200 42052
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/js/index.js HTTP/1.1" 200 114366
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/js/jquery-1.8.2.min.js HTTP/1.1" 200 93436
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/images/icon0.png HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/images/icon6.png HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/images/icon17.png HTTP/1.1" 200 1188
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/images/icon11.png HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/images/icon22.png HTTP/1.1" 200 1183
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/images/icon28.png HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/images/icon29.png HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/images/hs/hs699_01.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [29/Nov/2017:21:15:54 +0800] "GET /rbwzs/www/images/hs/hs699_02.jpg HTTP/1.1" 404 -
